"id","ident","type","name","latitude_deg","longitude_deg","continent","iso_country","iso_region","gps_code","iata_code","local_code"
2669,ESMS,large_airport,Malmö Sturup Airport,55.53630536399999,13.3761978149,EU,SE,SE-M,ESMS,MMX,
2670,ESMT,medium_airport,Halmstad Airport,56.69110107421875,12.820199966430664,EU,SE,SE-N,ESMT,HAD,
2672,ESMX,medium_airport,Växjö Kronoberg Airport,56.929100036621094,14.727999687194824,EU,SE,SE-G,ESMX,VXO,
2675,ESND,medium_airport,Sveg Airport,62.04779815673828,14.422900199890135,EU,SE,SE-Z,ESND,EVG,
2676,ESNG,medium_airport,Gällivare Airport,67.13240051269531,20.814599990844727,EU,SE,SE-BD,ESNG,GEV,
2679,ESNK,medium_airport,Kramfors Sollefteå Airport,63.04859924316406,17.76889991760254,EU,SE,SE-Y,ESNK,KRF,
2680,ESNL,medium_airport,Lycksele Airport,64.54830169677734,18.71619987487793,EU,SE,SE-AC,ESNL,LYC,
2682,ESNN,medium_airport,Sundsvall-Härnösand Airport,62.528099060058594,17.443899154663086,EU,SE,SE-Y,ESNN,SDL,
2683,ESNO,medium_airport,Örnsköldsvik Airport,63.40829849243164,18.989999771118164,EU,SE,SE-Y,ESNO,OER,
2685,ESNQ,medium_airport,Kiruna Airport,67.821998596191,20.336799621582,EU,SE,SE-BD,ESNQ,KRN,
2687,ESNS,medium_airport,Skellefteå Airport,64.62480163574219,21.076900482177734,EU,SE,SE-AC,ESNS,SFT,
2689,ESNU,medium_airport,Umeå Airport,63.791801452636996,20.282800674438,EU,SE,SE-AC,ESNU,UME,
2690,ESNV,medium_airport,Vilhelmina Airport,64.5791015625,16.833599090576172,EU,SE,SE-AC,ESNV,VHM,
2691,ESNX,medium_airport,Arvidsjaur Airport,65.59030151367189,19.28190040588379,EU,SE,SE-BD,ESNX,AJR,
2692,ESNY,medium_airport,Söderhamn Airport,61.26150131225586,17.09910011291504,EU,SE,SE-X,ESNY,SOO,
29358,ESNZ,medium_airport,Åre Östersund Airport,63.194400787354,14.500300407410002,EU,SE,SE-Z,ESNZ,OSD,
2693,ESOE,medium_airport,Örebro Airport,59.22370147705078,15.038000106811525,EU,SE,SE-T,ESOE,ORB,
2694,ESOH,medium_airport,Hagfors Airport,60.02009963989258,13.578900337219238,EU,SE,SE-S,ESOH,HFS,
2695,ESOK,medium_airport,Karlstad Airport,59.444698333699996,13.337400436400001,EU,SE,SE-S,ESOK,KSD,
2696,ESOW,medium_airport,Stockholm Västerås Airport,59.58940124511719,16.633600234985348,EU,SE,SE-U,ESOW,VST,
2697,ESPA,large_airport,Luleå Airport,65.543800354004,22.121999740601,EU,SE,SE-BD,ESPA,LLA,
2701,ESSA,large_airport,Stockholm-Arlanda Airport,59.651901245116996,17.918600082397,EU,SE,SE-AB,ESSA,ARN,
2702,ESSB,medium_airport,Stockholm-Bromma Airport,59.35440063476562,17.941699981689453,EU,SE,SE-AB,ESSB,BMA,
2703,ESSD,medium_airport,Borlange Airport,60.42200088500977,15.515199661254885,EU,SE,SE-W,ESSD,BLE,
2705,ESSK,medium_airport,Gävle Sandviken Airport,60.593299865722656,16.951400756835938,EU,SE,SE-X,ESSK,GVX,
2706,ESSL,medium_airport,Linköping City Airport,58.406200408900006,15.6805000305,EU,SE,SE-E,ESSL,LPI,
2707,ESSP,medium_airport,Norrköping Airport,58.58629989624024,16.250600814819336,EU,SE,SE-E,ESSP,NRK,
2708,ESST,medium_airport,Torsby Airport,60.1576004028,12.991299629199998,EU,SE,SE-S,ESST,TYF,
2709,ESSU,medium_airport,Eskilstuna Airport,59.35110092163086,16.70840072631836,EU,SE,SE-D,ESSU,EKT,
2710,ESSV,medium_airport,Visby Airport,57.662799835205,18.346200942993,EU,SE,SE-I,ESSV,VBY,
2711,ESTA,medium_airport,Ängelholm-Helsingborg Airport,56.29610061645508,12.847100257873535,EU,SE,SE-M,ESTA,AGH,
2712,ESTL,medium_airport,Ljungbyhed Airport,56.082801818847656,13.212499618530273,EU,SE,SE-M,ESTL,,
2713,ESUD,medium_airport,Storuman Airport,64.96089935302734,17.69659996032715,EU,SE,SE-AC,ESUD,SQO,
